DATE,RTWEXBGS
2006-01-01,100.0
2006-02-01,100.2629
2006-03-01,100.5401
2006-04-01,100.0531
2006-05-01,97.866
2006-06-01,99.1974
2006-07-01,99.3762
2006-08-01,98.8324
2006-09-01,98.5664
2006-10-01,98.3543
2006-11-01,97.367
2006-12-01,96.788
2007-01-01,97.8341
2007-02-01,97.6768
2007-03-01,97.4331
2007-04-01,96.1309
2007-05-01,95.4016
2007-06-01,95.1344
2007-07-01,93.7306
2007-08-01,94.0676
2007-09-01,92.867
2007-10-01,90.7422
2007-11-01,89.6737
2007-12-01,90.5256
2008-01-01,90.0044
2008-02-01,89.0042
2008-03-01,87.2135
2008-04-01,86.8304
2008-05-01,87.1603
2008-06-01,87.7419
2008-07-01,87.3413
2008-08-01,89.6885
2008-09-01,92.0419
2008-10-01,98.0077
2008-11-01,99.1764
2008-12-01,97.5746
2009-01-01,98.496
2009-02-01,101.2744
2009-03-01,101.5518
2009-04-01,98.9085
2009-05-01,95.7513
2009-06-01,94.8355
2009-07-01,94.3977
2009-08-01,93.163
2009-09-01,92.5143
2009-10-01,91.2616
2009-11-01,90.7852
2009-12-01,91.1324
2010-01-01,91.0109
2010-02-01,92.1985
2010-03-01,91.3054
2010-04-01,90.655
2010-05-01,93.2792
2010-06-01,93.6526
2010-07-01,92.0352
2010-08-01,91.2299
2010-09-01,90.2458
2010-10-01,87.6959
2010-11-01,87.8115
2010-12-01,88.5141
2011-01-01,87.4297
2011-02-01,86.8048
2011-03-01,86.0308
2011-04-01,84.576
2011-05-01,84.6663
2011-06-01,84.5157
2011-07-01,83.9166
2011-08-01,84.579
2011-09-01,87.2813
2011-10-01,87.942
2011-11-01,88.5582
2011-12-01,89.3611
2012-01-01,88.6904
2012-02-01,87.2414
2012-03-01,87.667
2012-04-01,87.8875
2012-05-01,89.2884
2012-06-01,90.5222
2012-07-01,89.9619
2012-08-01,89.3083
2012-09-01,87.9942
2012-10-01,87.8606
2012-11-01,88.2698
2012-12-01,87.4978
2013-01-01,87.4141
2013-02-01,88.2916
2013-03-01,88.7789
2013-04-01,88.0301
2013-05-01,88.431
2013-06-01,89.1488
2013-07-01,89.704
2013-08-01,89.6142
2013-09-01,89.1638
2013-10-01,88.1584
2013-11-01,88.9126
2013-12-01,89.0897
2014-01-01,89.9823
2014-02-01,90.11
2014-03-01,89.9367
2014-04-01,89.405
2014-05-01,89.0888
2014-06-01,89.1915
2014-07-01,88.9477
2014-08-01,89.7615
2014-09-01,91.0779
2014-10-01,92.1949
2014-11-01,93.5407
2014-12-01,95.4113
2015-01-01,97.1602
2015-02-01,98.5193
2015-03-01,100.4912
2015-04-01,99.5779
2015-05-01,98.7812
2015-06-01,99.5659
2015-07-01,101.3864
2015-08-01,103.0189
2015-09-01,103.6123
2015-10-01,102.6516
2015-11-01,104.3572
2015-12-01,105.1553
2016-01-01,107.4489
2016-02-01,106.1129
2016-03-01,103.9714
2016-04-01,102.4922
2016-05-01,103.5616
2016-06-01,104.011
2016-07-01,104.6872
2016-08-01,103.8645
2016-09-01,104.7439
2016-10-01,105.8193
2016-11-01,108.2378
2016-12-01,109.9541
2017-01-01,109.7388
2017-02-01,108.336
2017-03-01,107.6423
2017-04-01,106.6416
2017-05-01,106.0049
2017-06-01,104.596
2017-07-01,102.8708
2017-08-01,101.9146
2017-09-01,101.2811
2017-10-01,103.0839
2017-11-01,103.2482
2017-12-01,102.935
2018-01-01,100.7813
2018-02-01,100.1901
2018-03-01,100.4108
2018-04-01,100.5357
2018-05-01,103.5161
2018-06-01,105.0662
2018-07-01,105.0443
2018-08-01,105.6233
2018-09-01,105.8371
2018-10-01,106.5595
2018-11-01,107.7211
2018-12-01,107.7694
2019-01-01,106.0581
2019-02-01,106.1431
2019-03-01,106.564
2019-04-01,106.6809
2019-05-01,107.4454
2019-06-01,106.8249
2019-07-01,106.572
2019-08-01,108.3824
2019-09-01,108.5634
2019-10-01,108.0332
2019-11-01,107.8805
2019-12-01,107.2169
2020-01-01,106.5605
2020-02-01,107.9285
2020-03-01,111.8183
2020-04-01,113.4416
2020-05-01,112.7421
2020-06-01,110.1074
2020-07-01,109.5044
2020-08-01,108.196
2020-09-01,107.782
2020-10-01,107.2461
2020-11-01,105.9355
2020-12-01,103.961
2021-01-01,103.2607
2021-02-01,103.9198
2021-03-01,105.3995
2021-04-01,105.2391
2021-05-01,104.2429
2021-06-01,105.1593
2021-07-01,106.66
2021-08-01,106.9524
2021-09-01,107.0994
2021-10-01,108.0243
2021-11-01,109.1894
2021-12-01,110.3305
2022-01-01,109.7094
2022-02-01,109.799
2022-03-01,111.0689
2022-04-01,111.7072
2022-05-01,114.2836
2022-06-01,115.2499
2022-07-01,117.2305
2022-08-01,116.6322
2022-09-01,119.488
2022-10-01,121.0608
2022-11-01,118.5951
2022-12-01,116.0587
2023-01-01,113.9803
2023-02-01,114.6381
2023-03-01,114.8604
2023-04-01,113.6496
2023-05-01,113.9629
2023-06-01,113.7661
2023-07-01,112.4219
2023-08-01,114.0061
2023-09-01,115.7295
2023-10-01,117.3518
2023-11-01,115.4888
2023-12-01,113.844
2024-01-01,114.2542
2024-02-01,115.0417
